id, x, y, freq, label
366, 53.349155, -2.965236, 30, transformed
367, -15.808542, -37.999493, 31, elliott
368, -17.525240, -32.935043, 31, robert
369, 47.391953, -5.213336, 31, june
370, -28.425207, -37.523983, 28, including
371, -16.072115, -39.137051, 28, role
372, -18.934505, -35.246880, 27, museum
373, -16.484503, -37.840092, 30, held
374, 46.003151, -20.938854, 30, particular
375, -40.640270, -29.663275, 26, mercer
376, 43.241413, -20.007353, 29, whulshootseed
377, -39.134422, -30.594767, 30, next
378, 50.305084, -4.107818, 27, speech
379, -17.452763, -37.807930, 27, district
380, -29.578350, -35.549221, 28, son
381, 51.198151, -4.709706, 30, southern
382, -19.229725, -34.796043, 27, portland
383, 54.202316, 10.195754, 29, narrative
384, 45.849487, -3.599489, 30, edited
385, 51.011227, -16.712648, 29, live
386, 46.065128, -19.209362, 30, coming
387, -27.170382, -37.303528, 30, good
388, 47.822170, -12.652254, 29, star
389, -16.922451, -34.737309, 25, head
390, -16.782780, -33.111862, 29, september
391, 49.573807, 3.369410, 29, news
392, 53.782005, 11.312723, 28, imagery
393, -30.222332, -31.768570, 28, miller
394, -18.209408, -34.908848, 28, indi
395, -19.021385, -37.998257, 29, similar
396, 47.099712, -17.430967, 27, port
397, -30.891630, -32.661018, 29, trade
398, 44.826244, -19.533831, 28, vanishing
399, 53.810108, -11.484528, 28, meant
400, 54.561749, -9.599142, 29, los
401, -27.413321, -36.560440, 27, mill
402, 47.384277, -16.347139, 27, language
403, 53.751736, -7.709294, 28, identity
404, -20.567225, -38.105389, 28, human
405, 43.561741, -16.843611, 28, period
406, -20.650988, -38.519150, 27, lives
407, -22.048532, -38.038807, 28, arrived
408, 46.921791, -4.305408, 29, january
409, 43.527046, -20.297663, 28, records
410, -16.688282, -34.633133, 28, ans
411, 53.861107, 8.918002, 2, herring
412, -22.098219, -37.883324, 25, space
413, 51.644238, -13.269245, 25, rights
414, 49.061993, -17.441259, 28, political
415, 43.424019, -19.494373, 28, remains
416, -22.919260, -37.622734, 28, form
417, -24.656761, -35.266754, 24, cedar
418, 47.768654, -19.938730, 32, leaders
419, 52.997646, 7.343616, 28, reservations
420, 51.760254, -14.015822, 27, northern
421, 43.597599, -16.205009, 28, papers
422, -32.581032, -33.783234, 27, rather
423, -24.047663, -35.260742, 28, daughter
424, -16.294271, -36.791290, 9, post
425, 45.036461, -5.436913, 28, prosch
426, -14.869197, -39.061741, 26, stood
427, -30.240931, -35.719368, 28, efforts
428, -19.192225, -35.524994, 28, interview
429, 50.834335, -11.296626, 28, angeles
430, 43.508934, -19.602530, 27, seattleites
431, 43.569553, 24.647882, 28, connections
432, -29.953682, -36.048100, 28, lava
433, 44.030033, -22.343872, 30, hills
434, 47.276451, -6.298824, 14, puyallup
435, 50.744759, -14.535478, 27, simply
436, 53.809612, -11.963764, 27, geography
437, 52.716171, -10.737800, 27, entry
438, 54.511284, 1.510468, 24, changes
439, 51.667717, 0.929058, 27, berkeley
440, 50.565632, -15.136810, 26, died
441, 43.195110, 19.453781, 27, studies
442, 50.920109, -3.889489, 26, homeless
443, -32.342796, -32.926388, 26, gold
444, -16.968189, -38.154602, 27, toward
445, 46.267296, -17.144215, 25, especially
446, 45.117039, -21.358528, 27, nearly
447, -37.486397, -31.694992, 26, english
448, -15.600906, -38.283436, 26, winter
449, -26.013540, -36.092098, 27, amer
450, -16.368299, -37.155903, 25, progress
451, -19.534914, -36.550957, 11, five
452, -17.745335, -37.838757, 27, gone
453, 26.917675, 38.958790, 26, images
454, -14.978030, -37.615631, 24, earlier
455, 43.370617, -20.761198, 22, foot
456, 32.992119, 22.938543, 25, february
457, 49.054787, -16.483187, 28, houses
458, 50.921745, -13.343093, 25, meaning
459, -22.732204, -37.615047, 25, school
460, 40.172649, 18.081266, 16, nisqually
461, 43.361351, -17.399166, 26, sense
462, 43.592854, -21.966557, 26, clams
463, 42.093983, -17.490150, 26, jay
464, -19.881645, -35.664368, 25, historian
465, 41.631733, 26.624517, 26, labor
466, 50.856483, -15.804039, 26, con
467, -21.250111, -37.494652, 22, front
468, 44.591568, -4.865278, 22, x
469, 43.308723, -18.577126, 22, building
470, -22.160559, -37.082905, 24, company
471, 55.829983, 3.973516, 26, beginning
472, 53.164917, -2.498002, 23, father
473, 31.952105, 29.614517, 26, lit
474, 32.917442, 22.708347, 26, august
475, 46.199535, 11.766639, 22, meany
476, -15.412190, -36.962418, 26, chinook
477, 51.451633, 11.398036, 24, metropolis
478, 53.060829, -6.520254, 25, refers
479, 55.415379, 3.992429, 25, shilshole
480, 46.806671, -14.174208, 25, atlas
481, 53.713367, -12.081122, 24, relations
482, 49.989445, -16.031797, 24, salt
483, 54.719070, -2.024858, 19, today
484, 45.512859, -19.974434, 25, noted
485, -31.171961, 16.319420, 25, quarterly
486, 50.813931, -15.161385, 24, inspired
487, 43.084236, 22.965921, 25, founders
488, 52.726357, -10.138860, 24, making
489, 53.006817, -12.502625, 25, kinds
490, -21.049170, -36.924404, 25, attention
491, 49.895248, -16.989403, 25, provided
492, 47.073116, -5.671721, 25, publishing
